Name,Review,UpVotes,Rating,Date
Barani Dharan,"Very difficult to forward the video, especially if we are casting using Chromecast.",,5,"April 29, 2020"
Shawna Hampeys,Was the biggest fan of VLC across all devices. Not so much anymore since the last update. The volume control is horrible on Samsung Note 10+. Trying to play music or video through car stereo system and the sound is so MUCH less then the previous version. Have to turn volume all the way up in car and still can barely hear it. Will be using another app until this issue is resolved.,388,3,"March 28, 2020"
Sibusiso Msimango,"I really love this app, I've been using it for a good 6 years now downloading it on every new phone I bought. Love the playback speed option, the ability to slow music tempo and keep the same tone of the song is a very nice feature, I just wish it kept the sound quality too. Other than that..its a very great app VLC",170,2,"March 19, 2020"
Andrew Davies,"Up to now, this has been my number once choice for media player for both android and windows pc for many years. My Samsung galaxy j4 core worked great with this app until today where it would only open up a blank screen and then crash. I've forced stop the app and also uninstalled and reinstalled but still had the same. I'm so very disappointed I can't use the app any more.",376,5,"March 26, 2020"
Sumit Ranjan Biswas,What is wrong with it? It always crashes when I play MP3 songs. Every single time. I can't even listen to one song properly  completely. Can't you fix it? Or tell me what am I doing wrong. I use Bluetooth LG speaker (large & expensive) & Nokia 2. Everything plays fine when I use other players using same device.,64,1,"March 29, 2020"
Andy Anderson,"The latest update (12 March 2020) broke the best and most comprehensive player available. When I load the player, it does nothing. No playlists, no menus, nothing. As of now, this app is only a boat anchor. I will wait for the next update (if one is forthcoming) to decide if I will keep or delete.",66,1,"March 28, 2020"
Le Nam,"Getting there, a lot of features added since last visit, especially with SMB file system. Although i'm experiencing a hiccup with my S20 and Pixel 4 running Android 10, it askes for Authentication required everytime with remember password ticked, while my Tab S4 on Android 9 running no problem.",4,3,"April 19, 2020"
Miguel J Covers,Sometimes when I download moviesanime it doesnt show up on the menu even when I refresh it. So I have to uninstall and install it,1,4,"April 22, 2020"
Harald Øhrn,"Resize options are all the same aspect ratio, showing the same vertically stretched picture for lots of videos, except 3:4 which is not helping . Most 4K videos, mkv, gets stretched. HD movies also get stretched if I use another player, like YouYube, and then go back to VLC. Only way to fix it is to restart the box. That only fix HD though. Tried reinstalling, but no luck. It refuses to show black bars at the top and bottom of the screen. Box is MINIX U1",467,4,"March 13, 2020"
Shaheer Ahmad,Lots of bugs has been fixed. but there are still 3 most irritating bugs which i am not comfortable with. 1. Everytime i switch to another app while watching a video and when i switch back the subtitles doesn't show until a replay the video. 2. Sometimes audio latency does not adjust with bluetooth earphones until you restart the app or adjust audio delay manually. 3. Sometimes video list shows empty everytime i open the app. Video list doesn't show until we refresh the list.,333,1,"March 23, 2020"
Storm Machinine,"It is a favorite video player [of mine] and second best to Samsung's video player (which isn't available on Huawei devices) I recommend this app to anyone. It allows subtitles, duel-audio video, buffering, and more. The app also has music playing though I found the music player to not be great at categorizing and making a self-playlist of audio albums or artists.",512,4,"March 22, 2020"
Kendrick Yu,no option to make control overlay appear in the update. im using the app in an android media box on my tv with an air mouse remote controller. gesture controls are not applicable for my usage. please have an option to bring back control overlay in your settings,3,5,"April 19, 2020"
Sean McElaney,"Built in volume booster that works awesome!!... Been using VLC prob like 10+ years, and on a handful of diff Android phones and tablets, as well as a few diff Windows computers, both desktops and laptops, and even a netbook back in da day... Havent really tried any other media players since i found VLC since this does everything u need and more! I've told many friends and fam members bout u guys ova the years. Keep up the great work!",377,2,"March 22, 2020"
Sufyan Ansari,It never download auto subtitles from InApp option. No free streaming movie options unlike other players. Forward and reverse touch is too sensitive for full displays phones to handle. Other features are good. Reads almost all known formats.,1,5,"April 17, 2020"
Roshin Augustine,Very Good at hardware usage. Vlc only uses the just required power of a device to play contents. But the app goes down in UI. It's hard to access a desired content of the user. Need to improve media organizing and stuff...,1,3,"April 22, 2020"
William Yohana,When connect with subtitle it looks marvelous i like this app but it stop when its in lock mode i dont know why all in all i love this up for sure,,2,"April 29, 2020"
shusterPO,VLC is my favorite player on desktop. Why Adroid version of VLC is so different? UI is really bad. Icons on playback aren't intuitive. Especially icons for audio track or subtitle switch. Audio tracks are mostly delayed. File list displays some tags information not filename. In my case all files in one folder has same description. Timebar position is in the lower third - not good position fo me - unable to chage. Unable to play VOBs as desktop version is able to. Unable to set to play all files in folder. Need to use MX Player for som filetypes. Recent version started to crash on my Android TV Box on start. Uninstall and instal back helped. Unable to play wob files.,67,5,"April 1, 2020"
Tobiloba Funmilayo Owamokele,"After each update, I can't download subtitles anymore.. It's annoying. Please help fix this asap as I have uninstalled and re-downloaded only to meet the same issue. Whenever I try to download subtitles, it brings out the list of subtitles but I can't download the subtitles. Please, again and again help fix this issue.",49,1,"March 28, 2020"
Joseph Murray,"VLC plays ALL video files and codecs I am able to download or record, including many lesser known or foreign types, is open source and well tested, and has few bugs and issues. There are certainly some features I wish were added, such as a more intuitive basic interface, a better delineation bwtween advanced and basic features, and tools such as conversion and other features available in the Desktop version, but this app is awesome for most if not all video foles I watch on android",355,1,"March 17, 2020"
Aditya Veer,"The best video player out there. It was the best on desktop when it came out, and it's the best on phones. Able to play all types of video files and all the usual features of a video player are available. Best part - no ads! I used to have MX player earlier, but since I started using this, I've never gone back to it.",173,5,"March 20, 2020"
Russel H,"Always the BEST videoaudio player to find all your files! I would also suggest Audacity for audio editing on Android, Mac, PC, & LinuxUnix too. Great crowd sourced apps like these need our support!👍",10,5,"April 6, 2020"
Nyiko Shendelani,"Best ever, sometimes on videos i just want to listen instead of watching, that's what still stands out to me on this app. Although there's more great thing's about the app, the video as audio part is outstanding. Thanks a trillion.",11,5,"April 5, 2020"
Clare Alozie,Fairly good app. Very nice but not all movies subtitles are in it.,1,5,"April 26, 2020"
Tarun Tyagi,It does lack or may be hang amid of running videos and especially when we tap on pause or resume button. Please resolve this problem it makes me irritate when i suppose to pause or resume but it doesn't respond for long time. I hope you will overcome on this too soon. Thany you!,13,4,"April 7, 2020"
Albedo King of Sun,Irritating!!!!Screeens gets blackened when subtitles were enabled and only on certain resolutions video is visible and subtitles gets behind the screen Really irritating !!!!! Once this was my favourite player But now its gets worse and worst,1,1,"April 11, 2020"
A C,"Always for open source apps, thanks to all for the hard work. Overall great app.",1,2,"April 21, 2020"
Rexrival,After updating to Android 10 the app. is cloning my device while casting to Samsung TV even though the clone option. is unchecked pls fix,1,4,"April 22, 2020"
Ujjwal Sen,Songs reshuffle if you press the back button and shuffle is enabled Moving to the next track via the notification on Android Q crashes the System UI,,4,"April 27, 2020"
Sam Wright,"Vlc has always been free and extremely reliable. Love the app. Just wish the UI was easier for us non-techies to understand. Also I wish I could permanently save my playlists, in case of reinstall due to bugs.",3,3,"April 8, 2020"
NauticalJeans 84,"Love it! Awesome video playback, more precise brightness adjustment, ruptured eardrums from the awesome loudness. Only problem I have is that YouTube video streaming does not work on any of my android devices. I havent tested other websites.",8,4,"April 8, 2020"
Trung Pham,It was very good. But the last update make it takes a lot of time to start play a video. Before it plays the video immediately without any delay time. Now it shows your logo rotation almost a minute.,3,4,"April 9, 2020"
Tarun Rawat,Latest updates have ruined the performance. Scrolling backward n forward either pauses or jumps randomly anywhere. I dont know why it remembers some random duration of a video played and then plays it from the same spot again and again when put on replay. Scrolling within 10s of interval.. a stupid update.. now i have to stupidly watch the video 10s backward before reaching an exact time.. extremely irritating when watching some long lectures or presentation. Screen orientation is also bad now.,119,5,"March 17, 2020"
Dominic Matthews,"Used to be essential, being the only Android app that could play action cam video (GoPro, etc.) files, but not anymore - it just does nothing when you try to play such a video (no error message - appears to start the video, then just goes back to the file browser screen). Useless to me now! :(",77,1,"March 23, 2020"
Lefa Ntaraza,Best app but not easy to use when you want to stream music and videos is difficult to use because i want a lots of unnecessary information it will be easy if you just write the artist or song you want to stream or listen to and the app automatically researches for you want you want to see,4,1,"April 7, 2020"
Daniel Buford,"I've been using VLC for awhile and have loved the experience. However, I've recently run into the issue of it not saving the credentials for my home network. Please fix this.",1,4,"April 11, 2020"
Ntando Zungu,Just upgraded it and its no longer working ...it blacks out and redirects me back to my home screen. 😑,,4,"April 29, 2020"
Akshat Mishra,The video player is good as I have used it for years on windows(pc) but on android it's not good as it used to be it try to pick up the same style as of pc which quite doesn't suit it as windows and android are different platforms and one more thing it's video decoder is not at all good there are frame buffering and frame skipping also which is not a good thing so please update it in a good old fashioned way and make it no.1 player on android,132,1,"March 11, 2020"
Jay Gillard,"I'm having problems with the casting, the options not showing to cast",1,3,"April 16, 2020"
vasanth aarvi,It's not working subtitles search. it's show some errors occurred solve this,1,2,"April 24, 2020"
Aakash Patel,I like this app very much adds don't pop up and all but it needs to fixed there are some bugs i,1,2,"April 25, 2020"
arslan ali,It is a good app for video streaming but some videos file does not running only listening sound not seen video,1,5,"May 1, 2020"
Inshaff Ibrahim,There is an issue with the subtitle downloader. It searches the subtitles but it doesnt download the selected subtitle. Fix the issue please because when it comes to media players i have stood by VLC through out.,1,4,"April 18, 2020"
David M,"Stuck in the notification bar with nothing playing, even after a reboot.",,1,"April 28, 2020"
Jackson Kaizilege,"Thanks for the App,one problem is that it can't play the first song after the last song in the list can't reverse automatically to the first song and continue playing but stops!",1,2,"April 24, 2020"
Mohit Pathak,features are good but this app is quite unstable...it will be worth 5 stars if the stability of the app is improved in future:),4,4,"April 23, 2020"
Christopher Wagner,I've been using VLC media player long before Android existedI just want to tell the guys at VLC what a great job they've done and continue to do so in tracking down every single codec they can get their hands on so that virtually no format is unplayable on VLC CHEERS!!!,6,5,"April 10, 2020"
Parmar Vivek,"When I cast from VLC Player, there will be times where it runs smoothly for an hour+ Other times, it will stop for no reason, forcing me to recast to my screen. It’s mad annoying when I have to do this every 5 minutes. Any solutions to this problem?",36,5,"March 19, 2020"
Damilare james,I can't download subtitle. Even after updating. Thats horrible,,1,"April 29, 2020"
CHARLES Dari,"Nice app. I really love this app but I can't use one feature on it and that is the Subtitle download feature sometimes I will not get any results when I search and sometimes too I will get but can not download, especially when I'm using a video I downloaded with uc browser. I will be very happy if this is fixed and I will give it 5 ✨.",25,1,"March 21, 2020"
Matthew Black,"Close to 20 years of awesomeness, they heart apparently in the right right place, I not aware of any other open source media player that can handle ANY kind of format & if the file in question has gotten messed up some or BITrot it'll still try. Viva la VLC 28 03 2020 Melbourne C.B.D in the spooky wrong Co-vid19 VibeNew Normal??!! Dang.... M",41,3,"March 28, 2020"
Jensen Taylor,"Probably one of the best media players about. Mobile app's advanced features can be a little more difficult to find than on desktop, but it's all-round good otherwise with barely any codecs it can't decode and play.",13,5,"April 7, 2020"
Pak Haroon,"I tried No of players across play store but they miss some video formats then i finally got vlc player .,such an amazing video and audio player have a no of formats.. it also support backround play by converting video into audio best and best ever .and also better than mx player i recommended this.....",7,5,"April 11, 2020"
Palesakipu Nhyepala,"Player asks u to play from start or resume from last pose but fails to play videos and songs in the playlist from start, only plays the first item from start and others in the list are resumed from last position. This is very annoying. Pls fix this.",10,5,"May 1, 2020"
Bereket Sintayehu,"This VLC app was the thing I was searching for to synchronize a video for a whole month .It helped me synchronise audio and video,watch videos with high quality and arrenge my videos in the order I want . It is the best video player application ever made",4,2,"April 11, 2020"
Hein Htet Naing,"The player software for many multi-media files since I widely applied on Windows version with my laptop.I like its Windows version,but I ´ve just started using it on android versiob recently.I hope I will get the similar features,also on Android-based smart phones including mine.",7,5,"April 6, 2020"
Bolatito Akanji,Great experience. Every media files I throw on it played very well. I used the 'Casting' feature most time to connect my my smart TV and it has been great so far. Is there a way I can disable viewing on my phone when I mirrow to the TV?,6,4,"April 16, 2020"
A Google user,It is better than all other Audio and Video players without ads.,3,5,"April 21, 2020"
Clyde Parker,"This is totally, completly, AWSOME. I had this same app on my PC years ago, found to be indispensable then. It is great to have now. Plays movies on my phone perfectly Every Time. Don't leave home without it. 😎",4,4,"April 11, 2020"
darasingh dansena,When i am using crome cast in my mi tv firstly its play but after some time its stop to streaming and it is a major problem in this app than after i am connectin again to play the vedia please update it,1,5,"April 20, 2020"
syed muhammad Ahmed bukhari,Good player. Easy to download subtitles. But now I'm facing this problem. Even I have stable internet connection. Subtitles downloading error.,1,3,"April 12, 2020"
Elizabeth Thompson,Video out of sync with audio audio button works sometimes. Better than Google Play Music that came with. But not a great music player. It's OK.,6,3,"April 21, 2020"
Mustafa Supas,i wish i could say this is a perfect app but it isn't. The subtitle download doesn't work anymore. Every time you go out of the app it starts the video from the beginning. And if you're using this app as a host it crashes every 15 minutes. This app just isn't what it used to be.,46,3,"March 17, 2020"
Jagat Pavasia,"After update in end of february, the vlc player is suddenly playing off video file in SMB lan (crashing playing file not application). Before the update it is working nice, but after update it is crashing after 4-5 minutes of playing video. You should do this as early as you can. My mobile is samsung galaxy s9 plus.",56,4,"March 12, 2020"
Kostas Kouramas,Best one to watch your videos or movies. I am also using on PC mad have not find a competitor yet. Easy to use but full of features if you need more things. Controls are simple and easy.,9,3,"April 13, 2020"
mohamed zahran,"Cant watch a movie straight, the screen gets locked if dont interact with the screen for few mins. I checked my settings but didnt find anything related. Mx player and Samsung player works perfectly.",1,5,"April 13, 2020"
Mandeep Reehal,I have been using this app as my main driver for many years now. With the most recent update I can no longee search my NAS for files and stream. It's a really poor update which has rendered it useless now. Please fix ASAP or will be uninstalling.,2,1,"April 9, 2020"
HIRWA Michel Ange,Great app but please bring back the increase of volume or forward by touching the screen,2,1,"April 22, 2020"
samuel maingi,"Ave tried many players but i always come back to VLC principally coz of its ability to give excellent audio quality. The only misgiving is since the last update, track titles roll right to left when selecting my playlist. Its irritating to wait for the app to settle so i can see the song titles. Fix it.",6,4,"March 23, 2020"
Sujay Bombale,You should work on casting feature of app. I don't see casting options when I am using my phones hot spot for chrome cast... And there is no option to add subtitles and also no options to choose audio stream in case of dual audio videos...,2,4,"April 19, 2020"
SUJAL ROYALS,It is very easy to use and now I can open any video or audio file through this app.,5,3,"April 24, 2020"
Mark Smith,I been using VLC Player for a long time now...years and years..and i can honestly say that I cant recall a time when there was an update that made me feel like I need to pay money to use a top of the line Media player. So yeah...thats  My Experience .🙂👍💯,29,3,"March 20, 2020"
Thanos,"VLC Is the real deal, great video player and the subtitle reading is 👌, except when swiping up and down on left or right it backsforwards the video when trying to control the volume or brightness, other than that no problem at all.",5,5,"April 4, 2020"
Sy,"It's a very convenient media player, with all the features needed to comfortably play videos. It's one of the first apps I get on every phone, and most of the time I never even open the default video player.",3,4,"April 8, 2020"
Priyesh Pal,"Whenever I play music and leave my phone, it stops playing music after the screen display gets off. The app also do not show notification when I exit the app during a playback. So to change the song I have to open the app again.",2,5,"April 19, 2020"
Stefan Lundholm,Great app. Would have given 5 stars but it's not good for audiobooks as it doesn't keep its place when closing down Edit: app has started failing after a while to where it won't open at all and i am forced to reinstall,12,1,"April 20, 2020"
deadchaney,"Thank-you so much for making this app available, free to use and free from the ridiculous in your face AD b*llsh*t most apps have. Not only is it capable of handling all types of media format, its smartly made and user friendly in comparison to most free apps I've tried. Thanks VLC people.",53,2,"March 12, 2020"
Abel Xo Tessema,"I just love both the Android and PC apps. Nice work! But please, help out those people who send feedbacks and need help. They took the time to help you improve the app; they're too valuable to disappoint. So that's what you exactly should do. Thanks.",33,5,"March 30, 2020"
Duwayne Doman,it works fine but somtimes when you hoped out to the home screen of thr device and went back in it stuck for a wile but other than that every thing works fine....... and a next thing I wish it did have a max valume for audio that gets really loud just like when your watching a movie,2,5,"April 15, 2020"
Mohan Kumar,"VLC Player is good But iPhone option not available video colour change, contrast, sharp options not available..pls add the features",1,4,"April 20, 2020"
Ivan Burman,An excellent and free video player that supports every common video file format and the playback quality is very good these days too. Recommended!,2,4,"April 21, 2020"
Husnain Raza Kazmi,Kindly fix the issue as soon as possible coz i can't even able to download subtitles 😕,1,5,"April 24, 2020"
Shika,"One appprogram I'd pay for without blinking if I needed to. Have used VLC on desktop for years, now VLC is my default player for everything on my phone as well. Thank you.",4,2,"April 5, 2020"
Muhammad Shahzaib Soomro,Runs Pretty Well. I Liked It's Dark Mode. I Used This Player For 1 Year But Now I'm Just Sick Of It I'm Unable To Seek Any Video 10 Seconds Forward Neither By Tapping Twice Nor By Moving The Seek That's Why I Had To Uninstall It And Shift To Another Player.,4,5,"April 4, 2020"
Mayil Samy,"# We need What's app status saver option # List view ( list view in small size ) option for gallary videos with size, date, file length, format etc., # Files scanner takes too much time to scan on opening # Scroll automatically to last played # Automatically rotate based on video file orientation",1,3,"April 9, 2020"
Kevin Dhandhukiya,The download subtitles system is so useful for me. But dont know its not working on me now. I used to use it a lot but for a strange reason it stopped downloading subtitles. Pls fix.,7,4,"April 16, 2020"
Wayne Meadows,"I have used VLC for about a decade on Linux, Windows, Android and my only issue has ever been was finding enough time to listen to my huge music collection. All jokes aside its a great application and i will continue to use it for years to come across a pletora of devices.",54,3,"March 11, 2020"
Dev Parmar,"No ads, wow very good app. stream with youtube. i enjoy this app",,5,"May 1, 2020"
Wasif Tak,Easy and efficient to use. The best thing about this app is that it can support any kind of audio or video with ease and adding subtitles is also quite easy.,3,5,"April 18, 2020"
Rishi Nag,The app does not let me download any subtitles and also does not detect tge subtitle files downloaded from other sources such as Google. The app was fine before the update. Please help.,1,5,"April 17, 2020"
Eigel Asinas,1% brightness now turns off the screen completely after i updated to android 10. Pls fix this.,1,1,"April 28, 2020"
Mac Barber,Always been the best and still the best. Can view everything I have thrown at it.,1,4,"April 25, 2020"
Hemanth Atluri,Best media player ever on both android and Windows. No problem whike running app. Thank you,,5,"April 29, 2020"
dennis ferreira,"Hands down best media player. this player plays ALL music and ALL video files, it's great. The sound quality is not as good as the media player preinstalled on phone but by no means is it bad(LG X Power 3).",6,5,"April 9, 2020"
Pablo Acevedo,"FTP file list is broken. After adding the ftp server, it doesn't load the file list when trying to open or play it. Locally, it can but is not possible when using a dynamic dns to use it as a personal cloud.",18,5,"March 17, 2020"
N Q,"Flawless except for casting to Google Chromecast. Generally VLC is my default player, but it seems to losebreak connection to the external device. I still keep VLC around but use Allcast (not ideal and ad supported) just for casting.",5,3,"April 5, 2020"
Steevi Luscious,"Could be a little less difficult for me to download the proper subtitles, but overall I think this is the best media player, hands down...",5,3,"April 13, 2020"
daniel adiaphorist,Excellent player but stops working completely if it decides it needs to be updated,,5,"April 19, 2020"
Ishtiyaque Ahmed,"Media scanning problem still not solved, after recent update",1,3,"April 24, 2020"
Jamie Rowlands,"I'm really upset that now you cannot disable the video on your mobile device while casting, there used to be an option to toggle phone screen off to save power but has since been removed in an Update, such a shame, been using VLC since it released. Long time user scorned lol! Help",8,1,"March 18, 2020"
Skipper Riddles,SIMPLY THE BEST. Used on all devices. Used it for years. Never once a single crash. Easy to use. What else can be said? Oh yea! No f ads!,15,2,"April 3, 2020"
S. Sakhile,"Would be much better if it didn't reloadparse the music library every time you opened it. The playlist action could be better, it's really confusing and slow",1,5,"April 12, 2020"
Nondyebo DLAMINI,My movies play for 48 seconds then stop why is that happening?,,3,"April 27, 2020"
Harold Ian Mendoza,The subtitle is suck it wont display on the screen even if u download it multiple times,,1,"April 25, 2020"
Bhuvanesh Singh,The subtitles get cropped too when using zoomed in mode in 21:9 displays. fix it please. I have enabled the group video by name feature but it doesn't seem to work. Note there are hundreds of individual files showing in the home area.,25,2,"March 22, 2020"
avatarivn,"Pretty much all you need in a music player. Simple to use, no ads popping up and no obscure permissions required.",1,3,"April 12, 2020"
Augustina Opare,It was very useful.. Especially with the download of subtitles,2,5,"April 25, 2020"
1502Sudit,While using screen mirroring display is not matching with audio.,1,5,"April 24, 2020"
P715R,Keeps crashing while I try to cast to my TV. Annoying,,3,"April 27, 2020"
Aakashkumar Murugesan,App is fine 🤗but for some video files the subtitles are not syncing with the video,,3,"April 27, 2020"
Jon Tong,Takes a long time to load up videos and local network programs please fix it asap,1,4,"April 24, 2020"
Sehaj Anand,Stuttering while playing 10bit H.265 even at 720p... Support for 10bit HEVC Content needs to be ImprovedUpdated,1,4,"April 27, 2020"
how to sketch - zee.rox.artist,It has gone bit complicated to use the app in the background . Playlist option was better before next to the tracks and its not saving where i was on the previous video which i was watching .. i hope it will get fixed,1,1,"April 3, 2020"
Steven Calcano,This video player absolutely sucks. Always letting me down especially when it comes to chromecasting. Ever since the feature has been added I have never been able to have anything cast for more than 5 minutes without losing picture. I'm officially done with VLC,25,1,"March 21, 2020"
A Google user,Great video HD players..no annoying ads. Screen in auto turn Modes to any angles. There's Nothing I can't say These One of the great hd video player in world. thank you Dev. You did these perfect 5 stars Rates. 😊😉,27,1,"April 4, 2020"
Bryan Paul Talay,I don't know what's wrong with this app why i can't download the subtitle.,1,5,"April 23, 2020"
Lifedetector,Best ever since it came out so many years ago. Keeping it functional is why I love it,2,2,"April 20, 2020"
James Arnold,I use Vlc to play videos on my TV using chromecast. Everytime you pause the video it closes down and you have to start the video again or remember the time you paused it at.,1,5,"April 19, 2020"
ren moulton,Man. Your added cast function from your video app is better than any of the pure play paid casting applications. Nice to see a company that cares more about added features as other companies do on leading functionality with their core products. You guys (and gals) deserve the millions!,31,3,"March 20, 2020"
Aaraw Jr,Its good Player...its need to improve colour in video..better..,,5,"April 29, 2020"
Tapiwa Moseki,"I love Vlc, been using it for years but recently when i cast from it, it plays perfectly for 40mins to an hour then it stops.. It will refuse to recast and this problem continues forever until the next day.. Can you fix this..? Whats going on..?",7,4,"March 21, 2020"
Ehis Michael,I'd rate this player 5 stars if it has an option to disable headset control like MX player. Sometimes the headset malfunctions especially Bluetooth headset and you just want to disable pause and play or volume control for headset. Please include that soon. Thanks.,17,1,"March 22, 2020"
k tak,"When I try to resume playing a video from the notification center after a little while, it plays a different file instead what is supposed to play. So I end up having to launch the app, and finding the file from my folders and play it.",18,4,"March 29, 2020"
Ricky Halvorsen,"Amazing player for the most part, but the smb connection has to be fix, as it keeps asking for the credentials all the time.",1,4,"April 17, 2020"
Opt Out,"It is pretty easy to use and works on android, windows and linux.",1,3,"April 26, 2020"
Bismark Dovie,Why the subtitle is not automatically display? But the app is cool,,5,"May 1, 2020"
amin ahmadi,Thanks for your great app but I have a problem with it. Since Ive installed it on My android TV also its interface does not work properly and most of thime crashes at the begining like all of the folders icones are mixed up so i appreciate if you can fix it on rhe TV adapted interface.,12,5,"March 31, 2020"
Jerzy Bautista,I love this app. I was having a lot of trouble trying to play my downloaded videos on other video player and won't work. But thank you to this app I can finally enjoy my favorite movies.,4,4,"April 4, 2020"
Isha Noor,"It is very good source for opening videos of all types, Listening audio, songs and every material which yu want, enjoy yourself by Installing this app... Really good to use",1,5,"April 13, 2020"
Sunder Vel,Lovly app for Android . Because android mobiles does nt have equalizer options. So vlc app is good for music lovers. For vlc team i think your app is lovly but you need promote better. I dont see much reviews for this lovly app,1,5,"April 26, 2020"
arzole,Please give option to access subtitles through network. Not just phone. Subs should auto load like on PC also. Really annoying when watching video with various languages.,2,5,"April 18, 2020"
Luca Beinert,This app is great I have been using it for quite some time and it works awesome it plays lots of different formats and generally works flawlessly!!!,1,4,"April 19, 2020"
No Name,Trying to change seek time resets back to start of video instead for shorter clips,1,5,"April 25, 2020"
A C,All movies subtitles are not available.....only some movies subtitles are available,,2,"April 28, 2020"
Dhirender Dwivedi,Dear sir I have also used VLC player in my window-7 laptop which have 2Gb RAM. When we are play video with 1.8 speed and when forward the video by select Ctrl+ forward key then VLC player video stuck. Please suggest me what I do. I am not want to use any other player because your player features are good.,19,3,"March 27, 2020"
i z,"When I put it in the background and try to enter again, it just closes and doesn't even remember the time. Other than that, no problems.",3,3,"April 6, 2020"
Millicent Bansah,Subtitles are only few making it difficult to watch other movies using vlc😒,1,3,"April 23, 2020"
Jan Tesar,Hi there. Your app is almost the best. But this really annoys me. I access my external drive via SMB. It works but I am forced to put username and passwd for every directory level until i reach a movie itself. It means at least four times. Can it bypassed somehow?,15,1,"March 28, 2020"
גוגל מאפ,Best app. Has all sound formats I needed. Good sound. Enables you to create song lists and use folders for lists. Easy to use. Free with no ads. I love it,12,3,"April 2, 2020"
henry victor,"It was fine until the recent update, downloading subtitle was very very hard, you'll find the subtitle but it won't download.. fix this bug",2,5,"April 10, 2020"
Rizy ramay,When i am Casting on Chomecast subtitles doesn't show up.,1,3,"May 1, 2020"
Junaid Ibrahim,"The best media player that exists... With few bugs here and there!!! But the bugs doesn't bother much, It would be nice if I can save the playback speed of individual song... Please bring it in the next updates.... Thanks a lot for this awesome player",149,2,"March 9, 2020"
Abhishek Toppo,I have tried many times to download subtitles but it's not working anymore. Please fix this issue cause I love everything about this app. Oh and there's some issue with the subtitle adjusting too.,32,4,"March 13, 2020"
Jayanth Mallesh,Its very irritating as it always scans d library even after turning down the option. It does slow down the video and the device gets hanged every time I try to use it. Tried even uninstalling and reinstalling but nothing works out. Very poor support,14,3,"March 28, 2020"
Oscar Mardueno,I just updated this app today and it won't open any video anymore. The screen stays black and it doesn't do anything. It was a good app until today. Hope this bug can be fixed soon.,10,1,"March 30, 2020"
Dave,"This is the only program that allows me to easily play any audio or video type file, including dash-cam MOV files on my Android px.. I have not had any glitch issues with it either. It is a must have in both my Android and PC..",37,2,"March 11, 2020"
John Swan,Will only show 13 files from a set top box using dlna. Windows media player and other players list all files. I have 2 dlna servers a twonky server running on a NAS and the server installed upon humax set top box. Problem occurs upon both servers but only with vlc. Could it be a DTCP problem?,33,5,"March 11, 2020"
uzodimma deborah,"Well VLC is a very cool app. What I love most about it is that once u have data ,u can download subtitles for the particular movie u are watching.",,2,"April 27, 2020"
Rahul Ghosal,Whether in pc or in android....... It's always up to the mark!!!,1,4,"April 24, 2020"
Aboobaker Banoo,"VLC is my go to media player for both android & windows. Its the best hands down! Love it. When changing the tempo, instead of making the +- = 5 for every one tap; can it be = 2 because its sometimes difficult to get the tempo to 98 or 96?",21,4,"March 18, 2020"
Jason Fesperman,The cast button has disappeared after upgrading phones.,1,4,"April 21, 2020"
Josh Turner,The player with all the codecs and it plays obscure filetypes. Also the asthetics are great. Might need to add midi support though (-1 star). 4 stars,,3,"April 28, 2020"
Bling Loss,For the wholentime i have had my Samsung A7 2018 this was working fine until the last update that left it bugy. It is now pausing tracks on its own will and stuff. Other that that it has been a flawless experience to me.,19,4,"March 17, 2020"
Jake,Has an issue with old subtitles written in specific outdated language encodings. Unlike the desktop version that fully suports those encodings. Such as ISO Arabic.,3,4,"April 7, 2020"
Alfian I,"How to sync audio for all videos and not just particular video? It's always out of sync at about 150 ms for me. Oh, and when i strech the video for full screen mode, the subtitles are cropped.",1,2,"April 14, 2020"
Adeyombo Adetomiwa,The best video player but the subtitles downloads is not working,1,5,"April 24, 2020"
Charmaine Nadine,Keep getting grey screen i tried everything. Nothing works.,,5,"April 25, 2020"
Mayank Gupta,"The app works well enough. There is a consistent issue, new files downloaded onto the phone are not visible in the file selector.",7,1,"April 6, 2020"
Aman Sharma,"Its perfect app for watching videos...Pls add facility to play audio music from phone directory. Means if it shows phone's folders in app, i do not need to use any other music player..",2,4,"April 5, 2020"
Warren Ledda,Not automatically pick up the subtitle even it has the same name with the video file. Tried in a different player but it works.,1,5,"April 12, 2020"
Sandip Kumar,The repeat mode doesn't work. The player gets stuck at a point in the song after sometime.,1,2,"April 18, 2020"
Justin Anderson,If I pause while Chromecasting it always crashes.,1,3,"April 22, 2020"
Jackal Xenial,"Still the best, with the worst icon. Loads everything, more options than most, natural file sorting, which apparently seems to be too complicated for other players to implement. Still waiting for that VLC4 on computer tho.",22,2,"March 16, 2020"
Shabeer Kp,Good player... But for most of the time it's starting from the beginning of videos I watching instead resuming from where I stopped and its irritating while I am watching movies.,5,5,"April 17, 2020"
Abhishek Pantawane,"grat settings for easily changing language and many more ,😀😀",1,3,"April 29, 2020"
Man Amd,"Unable to get rid of tips pop up every single time. On S9 with latest Vlc, there is always 1 or 2 seconds hiccup at the start with video and audio on bluetooth. This does does happen on other apps",2,4,"March 27, 2020"
Vishal Singh,I don't know why the subtitles are not showing while playing the video even though I have selected it. Please team VLC help with this. I am very annoyed by this issue!,17,2,"March 23, 2020"
