,Name,Review,Label,UpVotes,Rating,Date,Keywords
144,Johan Larsson,Subtitles are disabled every time a new chapter starts for files using ordered chapters. Extremely annoying and frustrating.,['Functional Complaint'],19.0,2.0,"February 14, 2020","['subtitles', 'disabled', 'time', 'chapter starts', 'files', 'ordered chapters', 'extremely annoying', 'frustrating']"
145,Leon Buikstra,"I don't even like VLC on desktop PCs, but the phone app works amazingly well; played whatever I've thrown at it, smooth seeking, volume and brightness controls. Only complaint I have is I couldn't find an option to disable subtitles by default (meaning you have to disable them manually every time yo","['Functional Complaint', 'Update Issue']",466.0,3.0,"December 27, 2019","['don', 'vlc', 'desktop pcs', 'phone app works amazingly', 'played', 've thrown', 'smooth seeking', 'volume', 'brightness controls', 'complaint', 'couldn', 'find', 'option', 'disable subtitles', 'default', 'meaning', 'disable', 'manually', 'time yo']"
146,Polly Monsta,"The last update and interface changes are not great. I use this on my android tv. It used to play an episode then stop, now if there are multiple videos in a folder it just continues to play until i get to the end. Additionally, with the current video layout, if i am in a folder with whole tv season","['Functional Complaint', 'Update Issue']",344.0,5.0,"January 16, 2020","['update', 'interface', 'great', 'android tv', 'play', 'episode', 'stop', 'multiple videos', 'folder', 'continues', 'play', 'end', 'additionally', 'current video layout', 'folder', 'tv season']"
147,K.Y. Peng,No clouds access. There's path to access OneDrive before. Why it's gone?,['Functional Complaint'],2.0,2.0,"February 2, 2020","['clouds access', 'path', 'access onedrive']"
148,Lucas Akorli,Unable to refresh and add newer songs to library. The older version is better than this.,"['Functional Complaint', 'Update Issue']",2.0,3.0,"February 3, 2020","['unable', 'refresh', 'add newer songs', 'library', 'older version']"
149,Earl Baversjo,I make significant use of subtitles and I think the app needs a rethink for wider view choices for picking videos or subtitles. Inscrutable is not a good app design option!,['Update Issue'],11.0,3.0,"February 18, 2020","['make significant', 'subtitles', 'app', 'rethink', 'wider view choices', 'picking videos', 'subtitles', 'inscrutable', 'good app design option']"
150,Long Huynh Phi,"Great app! But I cannot give it 5 stars because it crashes when I use Bubble Dictionary to translate English subtitle to Vietnamese. After restarted the app, there is only sound from the video, and the sound keeps playing on my phone (Samsung Galaxy S7, Android 7) even when I killed VLC. Please fix ","['Functional Complaint', 'Update Issue']",44.0,4.0,"December 27, 2019","['great app', 'give', '5 stars', 'crashes', 'bubble dictionary', 'translate english subtitle', 'vietnamese', 'restarted', 'app', 'sound', 'video', 'sound', 'playing', 'phone', 'samsung galaxy s7', 'android 7', 'killed vlc', 'fix']"
151,mikesmultimedia,"Playlist Organization Changes are Bizzare! I would like to revert back to previous version but can't. Which means the auto update system forces the user to use each and every new update. So specifically, when you search for a video to add it to a playlist, you have to scroll down each time just to e",['Functional Complaint'],27.0,4.0,"December 11, 2019","['playlist organization', 'bizzare', 'revert back', 'previous version', 'means', 'auto update system forces', 'user', 'update', 'specifically', 'search', 'video', 'add', 'playlist', 'scroll', 'time']"
152,Reggie May,"Since the November 2019 update, it won't scan almost 200 folders worth of music in my SD card, despite deleting and reinstalling app (during which it froze after downloading). It was my go-to for listening to my own music (hell no, neither Google nor Apple is getting subscription money for tracks I ","['Functional Complaint', 'Update Issue']",43.0,1.0,"December 18, 2019","['november 2019 update', 'won', 'scan', '200 folders worth', 'music', 'sd card', 'deleting', 'reinstalling app', 'froze', 'downloading', 'go-', 'listening', 'music', 'hell', 'google', 'apple', 'subscription money', 'tracks']"
153,Glenn Armitage,"I use this app through my Nvidia Shield and it was fine until recently. Now, when I attempt to locate a movie to play on my ext HD, it will find them at first but by the time I'm getting into the Hs it starts skipping some until there's nothing left around the Ms. It's random each time too. If you h",['Functional Complaint'],81.0,1.0,"December 31, 2019","['app', 'nvidia shield', 'fine', 'recently', 'attempt', 'locate', 'movie', 'play', 'ext hd', 'find', 'time', 'hs', 'starts skipping', 'left', 'ms', 'random', 'time']"
154,gabe g,"I was a big fan of this player, ever since I was using it on my computer long before the Android devices and I would have given it the highest rating. However, I made the mistake of running the app while on wifi and it upgraded itself from v. 2.5.13 to v. 3.2.3 without notice and despite my device's",['Functional Complaint'],86.0,3.0,"December 14, 2019","['big fan', 'player', 'computer long', 'android devices', 'highest rating', 'made', 'mistake', 'running', 'app', 'wifi', 'upgraded', 'notice', 'device']"
155,Jonathan M,"Latest update broke usability. VLC was my favorite app on my car’s android  gps system. It now can’t read folders properly, grabbing incomplete directory results, that randomly change on every load. Thumbnails no longer fully load. Extremely sluggish, stalls for minutes.... My biggest pet peeve, th",['Functional Complaint'],32.0,3.0,"December 17, 2019","['latest update broke usability', 'vlc', 'favorite app', 'car', 'android  gps system', 'read folders properly', 'grabbing incomplete directory results', 'randomly change', 'load', 'thumbnails', 'longer fully load', 'extremely sluggish', 'stalls', 'minutes', 'biggest pet peeve']"
156,Dora The Explorer,"Before latest update had an easy to read list showing artist & album, perhaps a dozen + in view. Now I get 3 or 4 thumbnails of album covers, heavily shortened text description. Anybody with loads of playlists is going to take ages scrolling through. If I find an alternative I'll scrub VLC for good,","['Functional Complaint', 'Update Issue']",40.0,2.0,"December 23, 2019","['latest update', 'easy', 'read list showing artist & album', 'dozen +', 'view', '4 thumbnails', 'album covers', 'heavily shortened text description', 'loads', 'playlists', 'ages scrolling', 'find', 'alternative', 'll scrub vlc', 'good']"
157,Terry Lyall,"VLC was always one of the best until it hit the Android OS. I'm taking 1 star because it doesn't always save my location in a video after closing the app. If I close it off while projecting my phone to my tv, it usually doesn't save. It's annoying so I wouldn't mind a bookmark feature eventually. Yo","['Functional Complaint', 'Update Issue']",62.0,2.0,"January 14, 2020","['vlc', 'hit', 'android os', 'taking 1 star', 'doesn', 'save', 'location', 'video', 'closing', 'app', 'close', 'projecting', 'phone', 'tv', 'doesn', 'save', 'annoying', 'wouldn', 'mind', 'bookmark feature eventually', 'yo']"
158,J-train,"This is an amazing app that works perfectly in almost every way for listening to downloaded music. Although I am a bit disappointed to see the removal of the exclusive headset remote control option, as it makes it difficult to skip tracks without pulling out your phone","['Functional Complaint', 'Update Issue']",5.0,4.0,"January 23, 2020","['amazing app', 'works perfectly', 'listening', 'downloaded music', 'bit disappointed', 'removal', 'exclusive headset remote control option', 'makes', 'difficult', 'skip tracks', 'pulling', 'phone']"
159,Tres Tigers,BEST audio playing app to date! This gives me the best sound that even Google Music can't do with the long and accurate equalizer. I do hope they make the equalizer bigger both vertically and horizontally for it is so small on my screen. NOTE TO USERS!: When using high volume from VLC it will go off,['Update Issue'],41.0,4.0,"December 13, 2019","['audio playing app', 'date', 'sound', 'google music', 'long', 'accurate equalizer', 'hope', 'make', 'equalizer bigger', 'vertically', 'horizontally', 'small', 'screen', 'note', 'users', 'high volume', 'vlc']"
160,Aeron Hale,I would have rated this 5 stars previously but moving the audio playlists from where they were to another directory has made it less pleasant to use and added in more steps to get to your playlists. -2 stars for a stupid and unnecessary change. If it goes back to how it was I'll update this. Yet aga,['Functional Complaint'],38.0,5.0,"December 6, 2019","['rated', '5 stars previously', 'moving', 'audio playlists', 'directory', 'made', 'pleasant', 'added', 'steps', 'playlists', '-2 stars', 'stupid', 'unnecessary change', 'back', 'll update', 'aga']"
161,Kisan Kumar Biswal,Every new update arises new problem 1. equlizer changed with every update (maybe crashing) 2. In direction files used to be missing even after refreshing 3. Volume gesture isn't working on a single swipe 4. Playlist problem 5. In audio mode only a single song is selected otherwise you need to shuffl,['Functional Complaint'],23.0,2.0,"December 23, 2019","['update arises', 'problem 1', 'equlizer changed', 'update', 'crashing', 'direction files', 'missing', 'refreshing 3', 'volume gesture isn', 'working', 'single swipe 4', 'playlist problem 5', 'audio mode', 'single song', 'selected', 'shuffl']"
162,Hizkia Ibrahim,"This latest update really screwed things up. A lot of things didn't work with the last update and it's worst than the previous version. I was unable to connect through SMB to my computers anymore to play video files on my Android TV. But after some researching, I found the way to resolve this is to ",['Update Issue'],428.0,1.0,"December 7, 2019","['latest update', 'screwed things', 'lot', 'things didn', 'work', 'update', 'worst', 'previous version', 'unable', 'connect', 'smb', 'computers anymore', 'play video files', 'android tv', 'researching', 'found', 'resolve']"
163,RP S,"The latest update, removed so many important features (like aspect ratio, playback speed, subtitles etc) that were available on the player, now you have to press the 3 dots and then use these features. Bring those features back. Also, the aspect ratio is not working properly, I was watching a 1:1 vi",['Functional Complaint'],35.0,2.0,"December 15, 2019","['latest update', 'removed', 'important features', 'aspect ratio', 'playback speed', 'subtitles', 'player', 'press', '3 dots', 'features', 'bring', 'features back', 'aspect ratio', 'working properly', 'watching', '1 vi']"
164,Marco Ramírez,"I just loved this app, it was perfect and could open almost every media file with it but it all ended with the last update... now it takes like an hour to load files and, to make it worse, now occupies an unjustified ammount of space in my phone memory, slowing it down, I think that a lot of us woul",['Update Issue'],495.0,1.0,"December 18, 2019","['loved', 'app', 'perfect', 'open', 'media file', 'ended', 'update', 'takes', 'hour', 'load files', 'make', 'worse', 'occupies', 'unjustified ammount', 'space', 'phone memory', 'slowing', 'lot', 'woul']"
165,Bert Ward,"Loop control was not showing anywhere. After 2 reinstalls it suddenly appeared. Where expected. App is ok now, for the time being. Wasnt before. Things like that DO happen with various computer devices, and doesnt always 'make sense '. (good grief!) I was too quick on the draw. So changed it. Apolog",['Functional Complaint'],18.0,1.0,"December 20, 2019","['loop control', 'showing', '2 reinstalls', 'suddenly appeared', 'expected', 'app', 'time', 'wasnt', 'things', 'happen', 'computer devices', 'doesnt', 'make sense', 'good grief', 'quick', 'draw', 'changed', 'apolog']"
166,Jack Marshall,"I've been using VLC for years, desktop and android versions. Since the latest update, i've been having a little trouble with screen ratio not auto adjusting on my Acer Chromebook 15. Once I load a video it will play but the bottom of the screen is cut off (where the play button is) in which I have t",['Functional Complaint'],67.0,3.0,"December 29, 2019","['ve', 'vlc', 'years', 'desktop', 'android versions', 'latest update', 've', 'trouble', 'screen ratio', 'auto adjusting', 'acer chromebook 15', 'load', 'video', 'play', 'bottom', 'screen', 'cut', 'play button']"
167,Alex Naglich,"Clean interface, intuitive navigation, plenty of features, no ads, incredibly user-friendly. Edit: The subtitles do not load in the middle, only if you have playback running where the subtitle first appears. On my device, subtitle settings change nothing Pulling from the edge of the device for drop-",['Functional Complaint'],87.0,4.0,"January 8, 2020","['clean interface', 'intuitive navigation', 'plenty', 'features', 'ads', 'incredibly user-friendly', 'edit', 'subtitles', 'load', 'middle', 'playback running', 'subtitle', 'appears', 'device', 'subtitle settings change', 'pulling', 'edge', 'device', 'drop-']"
168,Mihai Mara,"Sometimes VLC closes for no reason, even if I set it on high priority, always on. The random shuffle play mode in a playlist keeps playing same songs (some several times) and completely ignores others. It does not remember what playlist  song was playing last time you used it. For example I list",['Functional Complaint'],713.0,3.0,"January 11, 2020","['vlc closes', 'reason', 'set', 'high priority', 'random shuffle play mode', 'playlist', 'playing', 'songs', 'times', 'completely ignores', 'remember', 'playlist  song', 'playing', 'time', 'list']"
169,Mutinta Handabile,"I can't fast forward the episodes I'm watching, which makes it hard for me to skip some parts I don't want to watch. Thought it was my settings on my phone but I checked and everything is alright. Other than that it's a fairly good app.","['Functional Complaint', 'Update Issue']",2.0,3.0,"January 23, 2020","['fast forward', 'episodes', 'watching', 'makes', 'hard', 'skip', 'parts', 'don', 'watch', 'thought', 'settings', 'phone', 'checked', 'alright', 'fairly good app']"
170,U make my heart go uwu,"I use it to listen to music and it's good for the most part, only problem is with the latest update. When I installed it, it won't let me play over 600 songs I downloaded. I either have to play the songs directly from the Directories section or use a different app. Aside from that, it's a great app.",['Functional Complaint'],8.0,2.0,"January 27, 2020","['listen', 'music', 'good', 'part', 'problem', 'latest update', 'installed', 'won', 'play', '600 songs', 'downloaded', 'play', 'songs directly', 'directories section', 'app', 'great app']"
171,V.V,"On some music (128kbps), when the playback speed increases, you'll hear noise and it's really awful, cause this feature wasn't like this before, after serval updates, I hoped it will be better in next update, but it doesn't look like it's gonna be better, all I enjoy from this app is the playback sp","['Functional Complaint', 'Update Issue']",129.0,4.0,"December 21, 2019","['music', '128kbps', 'playback speed increases', 'll hear noise', 'awful', 'feature wasn', 'serval updates', 'hoped', 'update', 'doesn', 'gonna', 'enjoy', 'app', 'playback sp']"
172,Elton Veux,"Great program, I have been having an issue with using the repeat feature. When I repeat 1 song it always seems to turn ab repeat on and starts from the point in the song that I actually turned on repeat. It is very irritating because I can't just repeat the song.","['Functional Complaint', 'Update Issue']",5.0,2.0,"January 29, 2020","['great program', 'issue', 'repeat feature', 'repeat 1 song', 'turn ab repeat', 'starts', 'point', 'song', 'turned', 'repeat', 'irritating', 'repeat', 'song']"
173,Kevin M.,"Perfect for watching videos, open source, and all the features I could ever need. I love this app. Thanks",['Functional Complaint'],1.0,3.0,"February 14, 2020","['perfect', 'watching videos', 'open source', 'features', 'love', 'app']"
174,Steve Gower,"In the past I would have rated this a 5. A recent update plays my audiobooks for a couple of minutes then crashes. It worked perfectly before the update. It is now unusable but have been generous with the rating and will edit to 5 once the bug has been fixed Devs, if you would like a copy of the aud",['Functional Complaint'],104.0,5.0,"January 2, 2020","['past', 'rated', 'recent update plays', 'audiobooks', 'couple', 'minutes', 'crashes', 'worked perfectly', 'update', 'unusable', 'generous', 'rating', 'edit', 'bug', 'fixed devs', 'copy', 'aud']"
175,Tony Early,Top notch app. Nearly does it all. I really appreciate the modern and streamline UI. Audio and video support is superb and all major codecs are supported. One feature I would like to see in the future is the ability to have cover art displayed while streaming online radio playlists similar to that w,['Functional Complaint'],1596.0,3.0,"December 21, 2019","['top notch app', 'modern', 'streamline ui', 'audio', 'video support', 'superb', 'major codecs', 'supported', 'feature', 'future', 'ability', 'cover art displayed', 'streaming online radio playlists similar']"
176,Ali Mojebi,"The last update was THE worst I've ever seen in any app. Huge ugly icons for playlists, user-unfriendly interface. After the update, my playlists turned empty, that's right, like with 0 media files in them. The app is constantly refreshing to identify new media files, yet it doesn't actually recogni","['Functional Complaint', 'Update Issue']",18.0,5.0,"December 31, 2019","['update', 'worst', 've', 'app', 'huge ugly icons', 'playlists', 'user-unfriendly interface', 'update', 'playlists turned empty', '0 media files', 'app', 'constantly refreshing', 'identify', 'media files', 'doesn', 'recogni']"
177,Clayton Morrison,"This works with pretty much any media type and has loads of different options aswell, I use it on all the devices I use media on and since my phone is always on me vlc for android and I have gotten to know each other quite well. The feature I wasn't expecting but loved was the pop up sized player, i",['Update Issue'],265.0,1.0,"December 19, 2019","['works', 'pretty', 'media type', 'loads', 'options aswell', 'devices', 'media', 'phone', 'vlc', 'android', 'feature', 'wasn', 'expecting', 'loved', 'pop', 'sized player']"
178,Jet Ardeshna,"Here's a use case: Background play is enabled. I start playing a folder filled with both audio AND video files, then lock the screen. Works fine until the audio files are played. But when a video is played, it stops playing, until I unlock and select Play as audio. Solution, sorta: Activate the P",['Functional Complaint'],35.0,5.0,"January 4, 2020","['case', 'background play', 'enabled', 'start playing', 'folder filled', 'audio', 'video files', 'lock', 'screen', 'works fine', 'audio files', 'played', 'video', 'played', 'stops playing', 'unlock', 'select play', 'audio', 'solution', 'sorta', 'activate']"
179,Richard Young,"Sadly, this app does not live up to it's desktop reputation. It always starts at full blast on volume. It ignores the current volume settings on the phone. Once you gently tap the volume down button, it jumps to the were it should be. When listening to a playlist, there is no random or repeat button",['Functional Complaint'],49.0,5.0,"January 13, 2020","['sadly', 'app', 'live', 'desktop reputation', 'starts', 'full blast', 'volume', 'ignores', 'current volume settings', 'phone', 'gently tap', 'volume', 'button', 'jumps', 'listening', 'playlist', 'random', 'repeat button']"
180,Adrian Michell,"My TV just updated to the latest 3.2.6 version. Now when set to Android TV UI app will exit when opening any browsing option. Internal, Network, favourites, etc, etc. Seems to work fine in normal UI mode. Just more difficult to use. And seems to have lost file skip functionality.","['Functional Complaint', 'Update Issue']",2.0,2.0,"January 23, 2020","['tv', 'updated', 'latest 3', '6 version', 'set', 'android tv ui app', 'exit', 'opening', 'browsing option', 'internal', 'network', 'favourites', 'work fine', 'normal ui mode', 'difficult', 'lost file skip functionality']"
181,Ronald Jordan Jr,"Background play I love that background play is an option now, seeing that my phones video player doesn't have the best format adaptive capability. But the BGP doesn't last long and cuts out randomly back to the screen I'm using. I'm sure it will get better! Still a great tool for android!",['Functional Complaint'],4.0,2.0,"January 27, 2020","['background play', 'love', 'background play', 'option', 'phones video player doesn', 'format adaptive capability', 'bgp doesn', 'long', 'cuts', 'randomly back', 'screen', 'great tool', 'android']"
182,Aukash Kalyaan,Come on my review is been up for more than a month and u haven't fixed the issue 👉 My chromecast use my phone hotspot as a wifi device i can cast any apps from my phone but The vlc player ( the only app ) casting options is not showing ....pls fix this and add an option to go for next video while c,['Functional Complaint'],2.0,4.0,"January 23, 2020","['review', 'month', 'haven', 'fixed', 'issue 👉', 'chromecast', 'phone hotspot', 'wifi device', 'cast', 'apps', 'phone', 'vlc player', 'app', 'casting options', 'showing', 'pls fix', 'add', 'option', 'video']"
183,David Watt,"Great, except a few issues... If you own a 3 band WiFi router router (Asus 11000) & w Gigabit (both up & down) network this app in a fast, quality device like my Samsung Galaxy Note 9 512GB (8GB RAM), this app still will not cast 4K video no matter how much RAM, device screen resolution, CPU, netwo",['Functional Complaint'],23.0,4.0,"December 5, 2019","['great', 'issues', '3 band wifi router router', 'asus 11000', '&', 'gigabit', '&', 'network', 'app', 'fast', 'quality device', 'samsung galaxy note 9 512gb', '8gb ram', 'app', 'cast 4k video', 'matter', 'ram', 'device screen resolution', 'cpu', 'netwo']"
184,Tshwene Vincent Baloyi,"Latest update screwed everything up. For example if I switch to another app from VLC and then go back, the font is set to small. This problem came with the latest update. (Quitting and restarting the app fixes it). The app was fine the way it was now there are plyaback errors, the interface sucks as","['Functional Complaint', 'Update Issue']",108.0,4.0,"December 21, 2019","['latest update screwed', 'switch', 'app', 'vlc', 'back', 'font', 'set', 'small', 'problem', 'latest update', 'quitting', 'restarting', 'app fixes', 'app', 'fine', 'plyaback errors', 'interface sucks']"
185,Shane Drumbastic,"I mainly use the app to stream to a chromecast from my NAS drive. Unfortunately, this app is by far the worst for streaming and has been for some time. It constantly locks up and I have to reset my chromecast, this does not happen for any other apps. Playback of local files is fine, but as stated, m",['Functional Complaint'],207.0,1.0,"January 8, 2020","['app', 'stream', 'chromecast', 'nas drive', 'app', 'worst', 'streaming', 'time', 'constantly locks', 'reset', 'chromecast', 'happen', 'apps', 'playback', 'local files', 'fine', 'stated']"
186,Arlene S.,Would go 5 stars but needs a version allowing back and forth loop and has no zoom feature for videos.,"['Functional Complaint', 'Update Issue']",1.0,2.0,"February 2, 2020","['5 stars', 'version allowing back', 'loop', 'zoom feature', 'videos']"
187,Greg-Snap R,As I'm finding out I am not alone with this now non play issue!!! VLC is now saying that One of my shared networks is asking for a password??? It can't be my network since there has never been a password set up for this particular one. I have never needed anything of the sort before... Please correc,['Functional Complaint'],170.0,4.0,"December 4, 2019","['finding', 'play issue', 'vlc', 'shared networks', 'password', 'network', 'password set', 'needed', 'sort', 'correc']"
188,Amin Karimi,"It is the best app, Vlc can play aac 5.1 on chromecast... (No other app can😎) But it can't play subtitle on chromecast, can you please add this feature?!",['Functional Complaint'],1.0,2.0,"February 10, 2020","['app', 'vlc', 'play aac 5', 'chromecast', 'app', '😎', 'play subtitle', 'chromecast', 'add', 'feature']"
189,john hendey,It's a bag of shi te. Fails at the basics. Much much better out there on android. These are masters on the PC but not even close on anything else,"['Functional Complaint', 'Update Issue']",,4.0,"February 12, 2020","['bag', 'shi te', 'fails', 'basics', 'android', 'masters', 'pc', 'close']"
190,Saud Chaudhery,Nice app to view movies on. Loading time is a bit long though.,['Functional Complaint'],1.0,2.0,"February 11, 2020","['nice app', 'view movies', 'loading time', 'bit long']"
191,Julia Barnard,"Generally it works very well. But EVERY time there is a software update, it forgets all my media, and deletes all of my saved playlists. Which is extremely annoying as I have to create them from scratch every time. Doesn't seem to let you save the playlists anywhere separate from the live memory. So",['Functional Complaint'],32.0,5.0,"December 18, 2019","['generally', 'works', 'time', 'software update', 'forgets', 'media', 'deletes', 'saved playlists', 'extremely annoying', 'create', 'scratch', 'time', 'doesn', 'save', 'playlists', 'separate', 'live memory']"
192,Farran,"I love this app, well ported for Android! However, it's created a thumbnails database of over 500MB, which seems unnecessary given that Android already has thumbnails for the files (I think?), andbut also that most of these files are audio so VLC must have made a thumbnail for every track using its","['Functional Complaint', 'Update Issue']",82.0,3.0,"January 2, 2020","['love', 'app', 'ported', 'android', 'created', 'thumbnails database', '500mb', 'unnecessary', 'android', 'thumbnails', 'files', 'andbut', 'files', 'audio', 'vlc', 'made', 'thumbnail', 'track']"
193,Hyperion Proteus,"IT SUDDENLY STOPS THE VIDEO WHEN I DRAG SEEK (only drag seeks) and it's mildly infuriating. It should keep playing without interruption when I drag seek. That's how it is in the previous versions. It doesn't happen everytime but 85% of the time, it does. Huawei Pro Lite (model doesn't even matter si",['Functional Complaint'],61.0,4.0,"January 9, 2020","['suddenly stops', 'video', 'drag seek', 'drag seeks', 'mildly infuriating', 'playing', 'interruption', 'drag seek', 'previous versions', 'doesn', 'happen everytime', '85%', 'time', 'huawei pro lite', 'model doesn', 'matter si']"
194,Joseph Marcum,This is the greatest app for playing videos in the background. I have tried 100 apps or more for my android and most were not compatible to Androids over 7 and mine is a nine. Thank you so so so much VLC Im a member for life. Now time to jam and read all my unread emails. ......I got over the holida,"['Functional Complaint', 'Update Issue']",58.0,2.0,"January 17, 2020","['greatest app', 'playing videos', 'background', '100 apps', 'android', 'compatible', 'androids', 'mine', 'vlc im', 'member', 'life', 'time', 'jam', 'read', 'unread emails', 'holida']"
195,Maximus,"The newer updates have made using the fast forwardrewind, volume control, pauseplay, etc into a nightmare of triggering issues. I'll try and swipe the volume up and oh look I've fast forwarded. If I try to go further away from the fast forward trigger area for volume up I pause it. You have the re",['Functional Complaint'],42.0,5.0,"January 19, 2020","['newer updates', 'made', 'fast forwardrewind', 'volume control', 'pauseplay', 'nightmare', 'triggering issues', 'll', 'swipe', 'volume', 've fast forwarded', 'fast forward trigger area', 'volume', 'pause']"
196,Agapia Coman,"I love VLC, I have it on my computer, as well. However, I find it absolutely ridiculous that it deletes my playlists randomly. It did it a couple of times now so I won't risk putting the time into creating the playlists again. Looking for another player.","['Functional Complaint', 'Update Issue']",1.0,1.0,"January 30, 2020","['love vlc', 'computer', 'find', 'absolutely ridiculous', 'deletes', 'playlists randomly', 'couple', 'times', 'won', 'risk putting', 'time', 'creating', 'playlists', 'player']"
197,Ahsan Jabbar,Loved it. Thou the layout is not v. good. They should also include zoom inout the video while playing it.,"['Functional Complaint', 'Update Issue']",4.0,3.0,"February 5, 2020","['loved', 'thou', 'layout', 'good', 'include zoom inout', 'video', 'playing']"
198,Melissa Cain,"The update is not loading all the music on my SD card. Only loads about 100 and I have 2000. Also very slow to load. I want to roll back cause VLC was working fine before. If it ain't broke, don't fix it. This is ridiculous. Everytime you'll release and update it's broken. Test the thing properly. K",['Functional Complaint'],324.0,5.0,"January 3, 2020","['update', 'loading', 'music', 'sd card', 'loads', 'slow', 'load', 'roll back', 'vlc', 'working fine', 'ain', 'broke', 'don', 'fix', 'ridiculous', 'everytime', 'll release', 'update', 'broken', 'test', 'thing properly']"
199,Sydney Lewis-Picard,"VLC plays all types of media files, including many with unusual or advanced audio formats. Playback is always smooth. Video and audio are synced most of the time, except when streaming to a Fire Stick or using the Fire Stick version of this app. Another MAJOR shortcoming is when streaming .MKV files",['Functional Complaint'],20.0,1.0,"January 16, 2020","['vlc plays', 'types', 'media files', 'including', 'unusual', 'advanced audio formats', 'playback', 'smooth', 'video', 'audio', 'synced', 'time', 'streaming', 'fire stick', 'fire stick version', 'app', 'major shortcoming', 'streaming', 'mkv files']"
200,Resuri Kuro,"Why you need to change something that was good, even perfect before? The new ui is horrible! Too big icons, and you removed the most important icon from the ui, the resize screen. I know its there on the ... menu, but hides half the screen when i try to calibrate the screen size. I needed 3 tap be","['Functional Complaint', 'Update Issue']",42.0,3.0,"December 6, 2019","['change', 'good', 'perfect', 'ui', 'horrible', 'big icons', 'removed', 'important icon', 'ui', 'resize screen', 'menu', 'hides half', 'screen', 'calibrate', 'screen size', 'needed 3 tap']"
201,Cloaked Rider,Great job by the developer. The app is back and running better than ever. It did have a big hiccup around 122019. But all the issues have been patched. Love that I can see the video file size and delete directly from the app menu again.,"['Functional Complaint', 'Update Issue']",33.0,2.0,"January 27, 2020","['great job', 'developer', 'app', 'back', 'running', 'big hiccup', 'issues', 'patched', 'love', 'video file size', 'delete directly', 'app menu']"
202,Terry Yim,"Love this app in the terms of video format compatibility and playing quality and functions.,BUT it is very disappointing that the file sorting method is limited to by name only, if other ways such asby date, or by file type. Thus function has never ... never been added to any one of the update",['Update Issue'],9.0,5.0,"December 16, 2019","['love', 'app', 'terms', 'video format compatibility', 'playing quality', 'functions', 'disappointing', 'file sorting method', 'limited', 'ways', 'asby date', 'file type', 'function', 'added', 'update']"
203,Jason Mumblow,This would easily be a five star app if not for the issues that have surfaced ever since the recent UI updates on most phones. Now it drops everytime the screen goes off. So unless you want your display screen on in company with this app both burning your battery simply to listen to your audio then,['Functional Complaint'],17.0,4.0,"December 17, 2019","['easily', 'star app', 'issues', 'surfaced', 'recent ui updates', 'phones', 'drops everytime', 'screen', 'display screen', 'company', 'app', 'burning', 'battery simply', 'listen', 'audio']"
204,Anthony Vaclavicek,"Whatever happened with the lastest update has rendered this app unusable. Upon opening the app it immediately starts scanning me media and freezes permanently. I've restarted, cleared cache, cleared files, uninstalled and reinstalled, disabled media scanning. Nothing has worked. Used to use this dai","['Functional Complaint', 'Update Issue']",31.0,2.0,"January 2, 2020","['happened', 'lastest update', 'rendered', 'app unusable', 'opening', 'app', 'immediately starts scanning', 'media', 'freezes permanently', 've restarted', 'cleared cache', 'cleared files', 'uninstalled', 'reinstalled', 'disabled media scanning', 'worked', 'dai']"
205,Reperak,"This is one of the best media players I've ever used. It's done perfectly, the codec is so optimized and videos play smooth as butter. I expected the Android port to be dumbed down but it isn't lacking too many features. Amazing work!","['Functional Complaint', 'Update Issue']",15.0,1.0,"January 23, 2020","['media players', 've', 'perfectly', 'codec', 'optimized', 'videos play smooth', 'butter', 'expected', 'android port', 'dumbed', 'isn', 'lacking', 'features', 'amazing work']"
206,Cloud Dancer,"I've used this app for quite a while now and loved it, but the new update kind of destroyed everything... When i open it the app automatically tilts everything to the side and i didnt find a setting to undo that. And in general i just dont like the new look and how everything is set up and organized",['Functional Complaint'],24.0,5.0,"December 5, 2019","['ve', 'app', 'loved', 'update kind', 'destroyed', 'open', 'app automatically tilts', 'side', 'didnt find', 'setting', 'undo', 'general', 'dont', 'set', 'organized']"
207,Chile,It's very user friendly It's the best app for music and videos in my opinion hoping it will advance in the coming years,"['Functional Complaint', 'Update Issue']",1.0,3.0,"February 17, 2020","['user friendly', 'app', 'music', 'videos', 'opinion hoping', 'advance', 'coming years']"
208,EthanJ Silver,"After the new update half the features don't work, The UI Was polished tho, So I guess that's a plus Scratch That, as of 9th Jan 2020 - All the features I used VLC for no longer work. It doesn't save the last played video in playlist doesn't save my position in a video I was playing, doesn't move to",['Functional Complaint'],57.0,5.0,"January 9, 2020","['update half', 'features don', 'work', 'ui', 'polished tho', 'guess', 'scratch', '9th jan 2020', 'features', 'vlc', 'longer work', 'doesn', 'save', 'played video', 'playlist doesn', 'save', 'position', 'video', 'playing', 'doesn', 'move']"
209,Brian Sodke,"This app has had really irritating problems for years, and I cannot even figure a way they haven't have fixed if ANY of the developers are actually using it. Sometimes videos will loop back to a certain point in the video when they're finished without the ab loop being turned on in any perceivable w","['Functional Complaint', 'Update Issue']",55.0,1.0,"December 21, 2019","['app', 'irritating problems', 'years', 'figure', 'haven', 'fixed', 'developers', 'videos', 'loop back', 'point', 'video', 'finished', 'ab loop', 'turned', 'perceivable']"
